Type,Weight,Elevators,Winglets,theta,rou,result
C,60,30,1,40,90,43.8
C,60,35,1,40,90,41.1
C,60,40,1,40,90,43.7
C,60,45,1,40,90,45.0
C,60,50,1,40,90,45.5
C,60,55,1,40,90,45.2
C,55,20,1,40,90,20.6
C,55,25,1,40,90,31.1
C,55,30,1,40,90,0.0
C,55,35,1,40,90,41.6
C,55,40,1,40,90,44.1
C,55,45,1,40,90,45.3
C,55,50,1,40,90,45.7
C,55,55,1,40,90,45.2
C,55,60,1,40,90,44.2
C,55,65,1,40,90,42.7
C,55,70,1,40,90,41.1
C,50,20,1,40,100,38.1
C,50,25,1,40,100,38.1
C,50,30,1,40,100,38.1
C,50,35,1,40,100,43.2
C,50,40,1,40,100,45.7
C,50,45,1,40,100,46.8
C,50,50,1,40,100,46.8
C,50,55,1,40,100,45.9
C,50,60,1,40,100,44.6
C,50,65,1,40,100,42.8
C,50,70,1,40,100,40.6
C,45,20,1,40,100,15.8
C,45,25,1,40,100,30.7
C,45,30,1,40,100,39.9
C,45,35,1,40,100,44.3
C,45,40,1,40,100,46.5
C,45,45,1,40,100,47.0
C,45,50,1,40,100,46.6
C,45,55,1,40,100,45.5
C,45,60,1,40,100,43.8
C,45,65,1,40,100,41.6
C,45,70,1,40,100,39.2
C,40,20,1,40,100,17.4
C,40,25,1,40,100,33.6
C,40,30,1,40,100,41.6
C,40,35,1,40,100,45.3
C,40,40,1,40,100,47.0
C,40,45,1,40,100,47.2
C,40,50,1,40,100,46.4
C,40,55,1,40,100,44.9
C,40,60,1,40,100,42.8
C,40,65,1,40,100,40.2
C,40,70,1,40,100,37.2
C,35,20,1,40,100,19.9
C,35,25,1,40,100,36.4
C,35,30,1,40,100,43.1
C,35,35,1,40,100,46.2
C,35,40,1,40,100,47.4
C,35,45,1,40,100,47.2
C,35,50,1,40,100,46.0
C,35,55,1,40,100,44.0
C,35,60,1,40,100,41.4
C,35,65,1,40,100,38.2
C,35,70,1,40,100,34.9
C,30,20,1,40,100,24.7
C,30,25,1,40,100,38.9
C,30,30,1,40,100,44.5
C,30,35,1,40,100,47.1
C,30,40,1,40,100,47.6
C,30,45,1,40,100,46.9
C,30,50,1,40,100,45.2
C,30,55,1,40,100,42.7
C,30,60,1,40,100,39.4
C,30,65,1,40,100,35.7
C,30,70,1,40,100,31.6
C,25,20,1,40,100,29.4
C,25,25,1,40,100,41.1
C,25,30,1,40,100,45.7
C,25,35,1,40,100,47.6
C,25,40,1,40,100,47.6
C,25,45,1,40,100,46.4
C,25,50,1,40,100,44.1
C,25,55,1,40,100,40.9
C,25,60,1,40,100,37.0
C,25,65,1,40,100,32.5
C,25,70,1,40,100,28.2
C,25,0,1,40,105,46.8
C,25,5,1,40,105,46.8
C,25,10,1,40,105,46.8
C,25,15,1,40,105,46.8
C,25,20,1,40,105,46.8
C,25,25,1,40,105,46.8
C,25,30,1,40,105,46.8
C,25,35,1,40,105,46.8
C,25,40,1,40,105,46.8
C,25,45,1,40,105,46.8
C,25,50,1,40,105,44.4
C,25,55,1,40,105,41.1
C,25,60,1,40,105,37.0
C,25,65,1,40,105,32.4
C,25,70,1,40,105,28.1
C,20,0,1,40,100,7.8
C,20,5,1,40,100,8.6
C,20,10,1,40,100,10.8
C,20,15,1,40,100,15.2
C,20,20,1,40,100,33.6
C,20,25,1,40,100,42.9
C,20,30,1,40,100,46.9
C,20,35,1,40,100,47.9
C,20,40,1,40,100,47.4
C,20,45,1,40,100,45.4
C,20,50,1,40,100,42.3
C,20,55,1,40,100,38.3
C,20,60,1,40,100,33.4
C,20,65,1,40,100,28.4
C,20,70,1,40,100,23.3
C,20,20,1,40,105,8.0
C,20,25,1,40,105,8.0
C,20,30,1,40,105,8.0
C,20,35,1,40,105,48.6
C,20,40,1,40,105,48.0
C,20,45,1,40,105,45.8
C,20,50,1,40,105,42.6
C,20,55,1,40,105,38.4
C,20,60,1,40,105,33.2
C,10,0,1,40,105,0.1
C,10,5,1,40,105,0.1
C,10,10,1,40,105,6.5
C,10,15,1,40,105,6.5
C,10,20,1,40,105,6.5
C,10,25,1,40,105,6.5
C,10,30,1,40,105,6.5
C,10,35,1,40,105,6.5
C,10,40,1,40,105,6.5
C,10,45,1,40,105,6.5
C,10,50,1,40,105,6.5
C,10,55,1,40,105,6.5
C,10,60,1,40,105,6.5
C,10,0,1,40,100,7.8
C,10,5,1,40,100,9.3
C,10,10,1,40,100,11.4
C,10,15,1,40,100,21.3
C,10,20,1,40,100,39.9
C,10,25,1,40,100,46.3
C,10,30,1,40,100,48.4
C,10,35,1,40,100,47.8
C,10,40,1,40,100,45.6
C,10,45,1,40,100,41.6
C,10,50,1,40,100,36.0
C,10,55,1,40,100,29.1
C,10,60,1,40,100,22.6
C,5,0,1,40,100,7.8
C,5,5,1,40,100,9.3
C,5,10,1,40,100,12.1
C,5,15,1,40,100,27.6
C,5,20,1,40,100,42.6
C,5,25,1,40,100,47.5
C,5,30,1,40,100,48.5
C,5,35,1,40,100,47.1
C,5,40,1,40,100,43.5
C,5,45,1,40,100,37.9
C,5,50,1,40,100,29.9
C,5,55,1,40,100,22.4
C,5,60,1,40,100,17.1
C,0,0,1,40,100,7.8
C,0,5,1,40,100,9.3
C,0,10,1,40,100,13.3
C,0,15,1,40,100,33.5
C,0,20,1,40,100,44.9
C,0,25,1,40,100,48.5
C,0,30,1,40,100,48.4
C,0,35,1,40,100,45.5
C,0,40,1,40,100,40.1
C,0,45,1,40,100,31.3
C,0,50,1,40,100,22.4
C,0,55,1,40,100,16.6
C,0,0,1,38,100,6.8
C,0,5,1,38,100,7.6
C,0,10,1,38,100,9.1
C,0,15,1,38,100,13.7
C,0,20,1,38,100,40.8
C,0,25,1,38,100,47.0
C,0,30,1,38,100,48.1
C,0,35,1,38,100,46.3
C,0,40,1,38,100,42.1
C,0,45,1,38,100,35.2
C,0,50,1,38,100,25.8
C,0,55,1,38,100,19.1
C,0,0,1,45,100,0.2
C,0,5,1,45,100,0.2
C,0,10,1,45,100,15.6
C,0,15,1,45,100,15.6
C,0,20,1,45,100,15.6
C,0,25,1,45,100,15.6
C,0,30,1,45,100,15.6
C,0,35,1,45,100,15.6
C,0,40,1,45,100,15.6
C,0,45,1,45,100,15.6
C,0,50,1,45,100,15.6
C,0,55,1,45,100,15.6
C,0,0,1,42,100,0.0
C,0,5,1,42,100,0.2
C,0,10,1,42,100,6.5
C,0,15,1,42,100,6.5
C,0,20,1,42,100,6.5
C,0,25,1,42,100,6.5
C,0,30,1,42,100,6.5
C,0,35,1,42,100,6.5
C,0,40,1,42,100,6.5
C,0,45,1,42,100,6.5
C,0,50,1,42,100,6.5
C,0,55,1,42,100,6.5
C,0,0,1,36,100,5.9
C,0,5,1,36,100,6.0
C,0,10,1,36,100,7.5
C,0,15,1,36,100,9.0
C,0,20,1,36,100,34.5
C,0,25,1,36,100,45.0
C,0,30,1,36,100,47.6
C,0,35,1,36,100,46.7
C,0,40,1,36,100,43.4
C,0,45,1,36,100,37.8
C,0,50,1,36,100,29.0
C,0,55,1,36,100,21.4
C,65,0,1,36,100,5.9
C,65,5,1,36,100,6.0
C,65,10,1,36,100,6.0
C,65,15,1,36,100,6.8
C,65,0,1,45,100,12.7
C,65,5,1,45,100,15.3
C,65,10,1,45,100,18.7
C,65,15,1,45,100,25.3
C,65,20,1,45,100,33.6
C,65,25,1,45,100,39.7
C,65,30,1,45,100,43.9
C,65,35,1,45,100,46.4
C,65,40,1,45,100,47.8
C,65,45,1,45,100,48.2
C,65,50,1,45,100,47.7
C,65,55,1,45,100,46.8
C,65,60,1,45,100,45.4
C,65,65,1,45,100,43.5
C,65,70,1,45,100,41.3
C,65,75,1,45,100,39.2
C,65,80,1,45,100,36.8
C,65,85,1,45,100,34.3
C,65,20,1,40,105,11.1
C,65,25,1,40,105,13.7
C,65,30,1,40,105,27.8
C,65,35,1,40,105,38.8
C,65,40,1,40,105,43.4
C,65,45,1,40,105,45.8
C,65,50,1,40,105,46.6
C,65,55,1,40,105,46.8
C,65,60,1,40,105,46.3
C,65,65,1,40,105,45.3
C,65,70,1,40,105,43.9
C,65,75,1,40,105,42.1
C,65,80,1,40,105,40.1
C,65,85,1,40,105,38.1
C,65,20,1,40,110,9.8
C,65,25,1,40,110,12.0
C,65,30,1,40,110,17.5
C,65,35,1,40,110,38.1
C,65,40,1,40,110,43.5
C,65,45,1,40,110,46.1
C,65,50,1,40,110,47.2
C,65,55,1,40,110,47.3
C,65,60,1,40,110,46.7
C,65,65,1,40,110,45.7
C,65,70,1,40,110,44.2
C,65,75,1,40,110,42.5
C,65,80,1,40,110,40.5
C,65,85,1,40,110,38.4
C,65,20,1,40,100,12.8
C,65,25,1,40,100,17.5
C,65,30,1,40,100,31.3
C,65,35,1,40,100,39.1
C,65,40,1,40,100,43.2
C,65,45,1,40,100,45.4
C,65,50,1,40,100,46.3
C,65,55,1,40,100,46.4
C,65,60,1,40,100,45.9
C,65,65,1,40,100,44.7
C,65,70,1,40,100,43.3
C,65,75,1,40,100,41.8
C,65,80,1,40,100,40.0
C,65,85,1,40,100,38.0
C,65,20,1,43,100,24.9
C,65,25,1,43,100,34.3
C,65,30,1,43,100,40.5
C,65,35,1,43,100,44.3
C,65,40,1,43,100,46.4
C,65,45,1,43,100,47.3
C,65,50,1,43,100,47.5
C,65,55,1,43,100,46.8
C,65,60,1,43,100,45.7
C,65,65,1,43,100,44.2
C,65,70,1,43,100,42.3
C,65,75,1,43,100,40.5
C,65,80,1,43,100,38.1
C,65,85,1,43,100,35.8
C,65,20,1,43,105,22.2
C,65,25,1,43,105,33.6
C,65,30,1,43,105,40.5
C,65,35,1,43,105,44.6
C,65,40,1,43,105,46.8
C,65,45,1,43,105,47.8
C,65,50,1,43,105,47.9
C,65,55,1,43,105,47.2
C,65,60,1,43,105,46.1
C,65,65,1,43,105,44.7
C,65,70,1,43,105,42.7
C,65,75,1,43,105,40.6
C,65,80,1,43,105,38.4
C,65,85,1,43,105,36.1
C,65,20,1,38,110,7.4
C,65,25,1,38,110,8.2
C,65,30,1,38,110,9.7
C,65,35,1,38,110,11.9
C,65,40,1,38,110,39.2
C,65,45,1,38,110,43.8
C,65,50,1,38,110,46.0
C,65,55,1,38,110,46.7
C,65,60,1,38,110,46.7
C,65,65,1,38,110,45.9
C,65,70,1,38,110,44.7
C,65,75,1,38,110,43.1
C,65,80,1,38,110,41.3
C,65,85,1,38,110,39.5
C,70,30,1,40,105,22.2
C,70,35,1,40,105,36.9
C,70,40,1,40,105,42.2
C,70,45,1,40,105,44.9
C,70,50,1,40,105,46.3
C,70,55,1,40,105,46.7
C,70,60,1,40,105,46.5
C,70,65,1,40,105,45.7
C,70,70,1,40,105,44.4
C,70,75,1,40,105,43.0
C,70,80,1,40,105,41.1
C,70,85,1,40,105,39.2
C,70,90,1,40,105,37.4
C,70,95,1,40,105,35.2
C,70,30,1,43,105,39.2
C,70,35,1,43,105,43.7
C,70,40,1,43,105,46.1
C,70,45,1,43,105,47.4
C,70,50,1,43,105,47.9
C,70,55,1,43,105,47.4
C,70,60,1,43,105,46.4
C,70,65,1,43,105,45.2
C,70,70,1,43,105,43.6
C,70,75,1,43,105,41.7
C,70,80,1,43,105,39.6
C,70,85,1,43,105,37.4
C,70,90,1,43,105,35.4
C,70,95,1,43,105,33.0
C,75,30,1,43,105,37.9
C,75,35,1,43,105,42.6
C,75,40,1,43,105,45.5
C,75,45,1,43,105,47.0
C,75,50,1,43,105,47.5
C,75,55,1,43,105,47.5
C,75,60,1,43,105,46.8
C,75,65,1,43,105,45.6
C,75,70,1,43,105,44.4
C,75,75,1,43,105,42.5
C,75,80,1,43,105,40.8
C,75,85,1,43,105,38.7
C,75,90,1,43,105,36.7
C,75,95,1,43,105,34.7
C,80,30,1,43,105,36.6
C,80,35,1,43,105,41.7
C,80,40,1,43,105,44.9
C,80,45,1,43,105,46.6
C,80,50,1,43,105,47.3
C,80,55,1,43,105,47.4
C,80,60,1,43,105,46.9
C,80,65,1,43,105,46.0
C,80,70,1,43,105,44.7
C,80,75,1,43,105,43.2
C,80,80,1,43,105,41.5
C,80,85,1,43,105,39.8
C,80,90,1,43,105,37.9
C,80,95,1,43,105,35.9
C,80,40,1,43,110,16.6
C,80,45,1,43,110,16.6
C,80,50,1,43,110,16.6
C,80,55,1,43,110,16.6
C,80,60,1,43,110,16.6
C,80,65,1,43,110,16.6
C,80,70,1,43,110,16.6
C,80,75,1,43,110,16.6
C,80,80,1,43,110,16.6
C,80,85,1,43,110,16.6
C,80,40,1,40,105,39.6
C,80,45,1,40,105,43.3
C,80,50,1,40,105,45.3
C,80,55,1,40,105,46.1
C,80,60,1,40,105,46.3
C,80,65,1,40,105,46.0
C,80,70,1,40,105,45.2
C,80,75,1,40,105,44.0
C,80,80,1,40,105,42.6
C,80,85,1,40,105,41.1
C,85,40,1,43,105,44.2
C,85,45,1,43,105,46.0
C,85,50,1,43,105,47.1
C,85,55,1,43,105,47.4
C,85,60,1,43,105,47.1
C,85,65,1,43,105,46.3
C,85,70,1,43,105,45.3
C,85,75,1,43,105,43.9
C,85,80,1,43,105,42.4
C,85,85,1,43,105,40.7
C,90,30,1,43,105,33.6
C,90,35,1,43,105,39.5
C,90,40,1,43,105,43.3
C,90,45,1,43,105,45.4
C,90,50,1,43,105,46.7
C,90,55,1,43,105,47.1
C,90,60,1,43,105,47.1
C,90,65,1,43,105,46.5
C,90,70,1,43,105,45.6
C,90,75,1,43,105,44.3
C,90,80,1,43,105,43.1
C,90,85,1,43,105,41.4
C,95,30,1,43,105,32.1
C,95,35,1,43,105,38.4
C,95,40,1,43,105,42.5
C,95,45,1,43,105,45.0
C,95,50,1,43,105,46.4
C,95,55,1,43,105,46.9
C,95,60,1,43,105,47.1
C,95,65,1,43,105,46.5
C,95,70,1,43,105,45.7
C,95,75,1,43,105,44.8
C,95,80,1,43,105,43.6
C,95,85,1,43,105,42.1
C,95,30,1,45,105,38.6
C,95,35,1,45,105,42.6
C,95,40,1,45,105,45.2
C,95,45,1,45,105,46.7
C,95,50,1,45,105,47.7
