,Weight,Elevators,theta,rou,result
32,0.09,0.54,0.5333333333333333,0.9333333333333333,16.4
33,0.82,0.56,0.6,0.8,47.3
34,0.75,0.6,0.3333333333333333,0.8666666666666667,44.5
35,0.36,0.38,0.43333333333333335,0.8666666666666667,46.7
36,0.84,0.52,0.43333333333333335,0.7333333333333333,42.7
37,0.09,0.52,0.43333333333333335,0.6666666666666666,35.3
38,0.72,0.58,0.3333333333333333,0.6,42.4
39,0.27,0.26,0.43333333333333335,0.6,36.7
40,0.57,0.6,0.43333333333333335,0.6666666666666666,44.7
41,0.39,0.24,0.5333333333333333,0.8,35.5
42,0.65,0.75,0.8333333333333334,0.5333333333333333,34.1
43,0.96,0.3,0.3333333333333333,0.6666666666666666,7.3
44,0.06,0.24,0.3333333333333333,0.9333333333333333,6.4
45,0.12,0.16,0.6,0.6666666666666666,38.6
46,0.65,0.13,0.9,0.4,42.1
47,0.15,0.6,0.5333333333333333,0.8666666666666667,15.3
48,0.87,0.44,0.5333333333333333,0.6,42.5
49,0.96,0.28,0.5333333333333333,0.9333333333333333,11.7
50,0.63,0.14,0.3333333333333333,0.8,5.3
51,0.74,0.46,0.6,0.8,47.3
52,0.24,0.52,0.43333333333333335,0.7333333333333333,43.6
53,0.44,0.39,0.6,0.7333333333333333,48.1
54,0.75,0.75,0.6,0.8,42.5
55,0.03,0.4,0.3333333333333333,0.8666666666666667,45.8
56,0.39,0.2,0.43333333333333335,0.5333333333333333,17.5
57,0.9,0.56,0.5333333333333333,0.9333333333333333,47.5
58,0.6,0.85,0.16666666666666666,0.7333333333333333,40.2
59,0.12,0.38,0.5333333333333333,0.9333333333333333,16.4
60,0.39,0.14,0.5333333333333333,0.9333333333333333,16.4
61,0.99,0.54,0.43333333333333335,0.7333333333333333,41.3
62,0.7,0.16,0.7666666666666667,0.6,37.0
63,0.06,0.36,0.5333333333333333,0.9333333333333333,16.4
64,0.8,0.43,0.7666666666666667,0.5333333333333333,47.0
65,0.45,0.18,0.5333333333333333,0.5333333333333333,27.3
66,0.7,0.68,0.3333333333333333,0.7333333333333333,44.2
67,0.75,0.13,0.7666666666666667,0.4,36.0
68,0.6,0.58,0.3333333333333333,0.6666666666666666,44.0
69,0.36,0.38,0.3333333333333333,0.8666666666666667,11.6
70,0.03,0.3,0.3333333333333333,0.6,45.1
71,0.87,0.32,0.43333333333333335,0.8,10.3
72,0.3,0.1,0.7666666666666667,0.26666666666666666,38.3
73,0.84,0.54,0.43333333333333335,0.8,44.2
74,0.96,0.38,0.3333333333333333,0.7333333333333333,7.6
75,0.8,0.58,0.9,0.5333333333333333,1.3
76,0.45,0.1,0.43333333333333335,0.6666666666666666,8.2
77,0.72,0.58,0.43333333333333335,0.6666666666666666,44.8
78,0.21,0.6,0.5333333333333333,0.9333333333333333,16.4
79,0.3,0.26,0.43333333333333335,0.8666666666666667,13.8
80,0.69,0.36,0.5333333333333333,0.6,41.2
81,0.36,0.64,0.43333333333333335,0.9333333333333333,7.2
82,0.36,0.12,0.3333333333333333,0.7333333333333333,6.0
83,0.3,0.26,0.3333333333333333,0.8,7.8
84,0.36,0.44,0.43333333333333335,0.9333333333333333,7.2
85,0.72,0.34,0.3333333333333333,0.8666666666666667,6.4
86,0.81,0.66,0.3333333333333333,0.8,44.2
87,0.75,0.7,0.8333333333333334,0.5333333333333333,39.1
88,0.45,0.19,0.9,0.5333333333333333,1.3
89,0.33,0.48,0.43333333333333335,0.8666666666666667,47.6
90,0.03,0.6,0.43333333333333335,0.5333333333333333,18.3
91,0.84,0.48,0.5333333333333333,0.8666666666666667,45.8
