,Weight,Elevators,theta,rou,result
9813,33,28,38,90,37.0
7707,39,22,35,95,8.0
19093,33,54,38,85,43.2
18255,15,52,38,95,39.6
2689,34,43,43,100,47.7
24894,65,10,48,80,33.7
27807,20,46,48,65,35.6
2994,12,20,43,95,44.2
27352,40,40,48,70,44.2
6928,30,20,35,85,10.1
18012,81,50,41,105,46.4
244,100,70,35,120,10.7
11728,0,34,38,110,6.8
3521,51,10,41,95,12.0
4952,51,14,41,110,15.3
29473,80,64,52,85,1.3
1183,90,75,40,115,45.7
8427,39,24,38,90,23.1
13961,12,40,41,115,16.4
22397,96,62,41,85,44.2
25781,15,22,48,75,47.1
1023,85,50,45,105,48.0
23334,27,66,35,115,37.6
15001,60,42,38,100,42.5
7809,51,22,41,115,16.4
11052,6,32,38,90,46.7
6136,18,18,35,115,5.7
28044,10,49,52,80,0.4
8736,84,24,35,95,7.3
17741,42,50,41,115,16.4
2170,60,48,43,105,48.0
11390,54,32,38,100,31.2
25925,75,22,48,75,41.5
19466,87,54,35,95,37.9
18313,24,52,35,105,44.8
22767,48,64,35,115,45.1
26536,15,31,48,70,45.0
9589,0,28,41,90,47.7
23469,45,66,41,90,39.6
18949,12,54,38,100,35.6
2191,62,52,43,105,47.6
16558,78,46,38,115,41.7
593,70,40,43,105,46.1
7133,57,20,41,95,20.2
10739,63,30,38,100,13.2
13303,21,38,38,110,6.8
22130,57,62,41,115,16.4
24953,90,10,48,75,33.0
6025,3,18,35,85,14.5
11754,3,34,41,100,6.3
8848,99,24,38,95,9.7
3606,63,10,41,100,10.2
2059,79,47,43,105,47.0
22190,66,62,41,100,45.5
21589,84,60,35,105,42.6
7235,72,20,38,115,6.7
28334,25,52,52,90,15.7
21160,21,60,41,95,33.1
11507,72,32,35,90,9.2
4442,81,12,38,115,5.8
15819,75,44,38,95,40.0
10380,12,30,38,90,45.6
17622,27,50,35,115,46.9
2903,22,40,43,95,46.7
10808,72,30,41,95,34.3
14312,63,40,41,85,43.8
24065,70,68,35,95,43.6
17385,96,48,35,85,27.3
18126,99,50,35,115,7.4
1122,25,25,45,95,47.2
10259,96,28,38,115,7.6
27378,50,40,48,80,46.4
4196,45,12,41,110,15.3
3003,10,22,43,95,46.5
6132,18,18,35,95,8.0
2020,74,54,43,105,47.5
16861,21,48,35,90,44.4
16682,96,46,38,105,35.6
18241,12,52,41,95,34.3
12292,81,34,38,95,16.8
11233,33,32,35,85,34.5
19283,60,54,38,90,44.6
3574,60,10,35,115,4.8
13599,63,38,41,85,43.1
4980,57,14,35,110,5.5
23761,87,66,38,115,46.5
26452,85,28,48,70,42.8
18552,57,52,38,110,47.1
3799,93,10,35,85,6.8
5707,57,16,41,105,11.9
24591,82,71,35,100,43.9
25451,85,16,52,75,42.3
458,0,55,42,100,6.5
28138,50,49,52,70,40.4
16325,45,46,38,105,47.1
23846,99,66,41,85,44.0
13012,81,36,41,90,38.8
9141,39,26,38,90,29.6
23314,24,66,38,85,33.3
18906,6,54,38,95,28.8
21067,9,60,38,85,25.4
5807,72,16,38,115,6.7
12115,57,34,35,85,16.6
28924,65,58,48,70,40.4
15607,45,44,38,85,44.3
5197,87,14,38,110,6.6
28321,20,52,52,85,1.3
26355,45,28,48,65,44.9
21695,99,60,35,110,10.2
15094,72,42,41,110,45.2
18412,36,52,41,110,15.3
25440,80,16,52,80,42.7
19598,3,56,38,90,22.2
25414,70,16,52,70,43.0
14816,33,42,41,85,45.9
11576,81,32,38,85,23.9
1542,100,58,43,110,47.5
508,65,25,40,110,12.0
27753,100,43,52,65,44.3
28326,25,52,48,80,34.5
17029,45,48,35,90,43.5
9399,75,26,41,85,31.1
17498,9,50,38,90,37.6
23597,63,66,41,100,44.2
2559,44,54,43,100,45.2
24489,67,71,35,115,45.1
25656,65,19,52,80,45.2
20790,72,58,35,100,43.5
23300,21,66,41,85,27.2
28608,35,55,52,80,0.4
11920,27,34,41,90,46.6
29124,40,61,52,80,0.4
8426,39,24,38,85,27.3
23223,12,66,35,85,27.0
13358,30,38,35,105,44.0
6762,6,20,35,95,10.1
16871,21,48,38,105,45.3
11338,48,32,35,85,19.3
23097,96,64,35,85,40.2
1274,30,35,40,105,47.5
12653,30,36,38,115,7.2
16101,12,46,41,105,7.5
26654,60,31,52,90,15.7
26310,25,28,48,80,47.6
28060,20,49,48,70,33.3
3976,15,12,38,95,10.3
26459,85,28,52,75,46.1
10018,63,28,35,100,7.5
24468,64,71,35,115,44.9
14124,36,40,41,90,46.5
14206,48,40,38,115,7.2
2979,12,17,43,95,40.4
3106,16,42,43,95,44.3
19018,21,54,41,95,38.7
8488,48,24,35,115,5.7
19904,45,56,41,115,16.4
11293,39,32,41,105,45.6
28167,65,49,48,65,42.8
17141,60,48,38,90,44.0
27241,95,37,52,85,47.7
21970,36,62,38,85,40.7
6786,9,20,35,110,7.2
24885,60,10,52,65,40.7
10124,78,28,35,105,6.2
10465,24,30,38,95,42.9
10353,9,30,35,95,44.0
5345,6,16,38,115,7.2
27598,35,43,52,70,40.5
26673,70,31,52,65,45.4
28993,90,58,52,85,43.7
18230,12,52,35,110,40.5
233,95,50,35,120,6.7
2279,59,44,43,105,48.2
25577,35,19,48,75,44.1
18834,99,52,35,85,32.2
25223,95,13,52,75,40.4
21023,3,60,35,110,19.7
28514,100,52,52,90,15.7
20019,63,56,38,95,45.1
16021,3,46,35,90,40.1
11806,12,34,35,115,6.4
14871,42,42,35,115,11.9
7037,45,20,35,105,6.2
17858,60,50,38,105,46.2
12616,24,36,41,105,7.5
19203,48,54,38,110,47.0
17383,93,48,41,110,44.7
20244,96,56,35,100,36.5
9776,27,28,38,115,7.2
4145,39,12,38,100,8.4
1246,45,40,40,110,47.3
15572,39,44,41,85,45.8
12339,87,34,41,85,36.9
7622,27,22,35,90,9.1
1799,89,47,43,105,46.3
14657,12,42,35,95,45.5
14403,78,40,35,85,16.6
17619,27,50,35,100,45.5
15951,93,44,41,90,41.8
23442,42,66,38,95,40.9
25912,70,22,48,70,42.0
18644,69,52,41,115,16.4
2377,52,47,43,100,47.7
12528,12,36,41,85,46.0
29295,10,64,48,65,9.5
4274,57,12,38,115,6.7
8537,54,24,38,115,8.4
7320,84,20,41,85,21.3
28544,10,55,48,90,14.8
20585,42,58,38,90,43.2
1385,55,10,55,70,43.5
9303,63,26,35,95,7.3
11434,60,32,38,110,11.2
26214,90,25,48,80,42.0
16265,36,46,41,85,45.3
22752,45,64,38,110,43.4
23436,42,66,35,100,42.3
15545,36,44,38,90,45.5
3993,18,12,35,110,5.5
11517,72,32,38,105,11.6
12956,75,36,35,90,9.8
1539,100,54,43,110,47.1
26994,100,34,48,80,44.4
27654,60,43,48,80,46.1
11686,96,32,38,110,9.0
20227,93,56,38,85,41.9
16125,18,46,35,85,43.9
23355,30,66,35,115,39.2
27986,90,46,52,90,15.7
20486,27,58,41,85,37.3
6916,27,20,38,95,14.6
21792,9,62,41,105,7.5
2285,59,46,43,105,48.2
25569,30,19,52,65,46.0
8920,6,26,41,105,7.5
691,95,50,45,105,47.7
